skill,industry,geography,period,metric,value,unit,evidence_type,source,source_tier
Communication,technology,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,finance,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,education,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,retail,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Resilience,technology,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Resilience,finance,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Resilience,education,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Resilience,retail,United States,2026-09,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,healthcare,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Decision-Making,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Decision-Making,education,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Problem Solving,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Problem Solving,healthcare,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Problem Solving,education,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Problem Solving,consulting,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Problem Solving,government,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,healthcare,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,education,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
Communication,consulting,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2
